,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,2.087646484375,0.6679999828338623,1.8583886623382568,0.9132999181747437,2.087646484375,0.6679999828338623,1.8583886623382568,0.9132999181747437,2.087646484375,0.6679999828338623,1.8583886623382568,0.9132999181747437,,,,
1,1.6603554487228394,0.9200000166893005,1.4902660846710205,0.9173998832702637,1.6603554487228394,0.9200000166893005,1.4902660846710205,0.9173998832702637,1.6603554487228394,0.9200000166893005,1.4902660846710205,0.9173998832702637,,,,
2,1.3230503797531128,0.9259999394416809,1.2067382335662842,0.9269999265670776,1.3230503797531128,0.9259999394416809,1.2067382335662842,0.9269999265670776,1.3230503797531128,0.9259999394416809,1.2067382335662842,0.9269999265670776,,,,
3,1.0673506259918213,0.9290000200271606,0.9954809546470642,0.9294000267982483,1.0673506259918213,0.9290000200271606,0.9954809546470642,0.9294000267982483,1.0673506259918213,0.9290000200271606,0.9954809546470642,0.9294000267982483,,,,
4,0.878452718257904,0.934999942779541,0.83888840675354,0.9341999888420105,0.878452718257904,0.934999942779541,0.83888840675354,0.9341999888420105,0.878452718257904,0.934999942779541,0.83888840675354,0.9341999888420105,,,,
5,0.739683985710144,0.9359999895095825,0.7228886485099792,0.9375,0.739683985710144,0.9359999895095825,0.7228886485099792,0.9375,0.739683985710144,0.9359999895095825,0.7228886485099792,0.9375,,,,
6,0.6367855072021484,0.9399999976158142,0.635741651058197,0.9393998980522156,0.6367855072021484,0.9399999976158142,0.635741651058197,0.9393998980522156,0.6367855072021484,0.9399999976158142,0.635741651058197,0.9393998980522156,,,,
7,0.5581111311912537,0.9449998736381531,0.5678210854530334,0.941100001335144,0.5581111311912537,0.9449998736381531,0.5678210854530334,0.941100001335144,0.5581111311912537,0.9449998736381531,0.5678210854530334,0.941100001335144,,,,
8,0.4970984160900116,0.9559999704360962,0.5141482353210449,0.9433000087738037,0.4970984160900116,0.9559999704360962,0.5141482353210449,0.9433000087738037,0.4970984160900116,0.9559999704360962,0.5141482353210449,0.9433000087738037,,,,
9,0.4489792287349701,0.9569999575614929,0.4710805416107178,0.944599986076355,0.4489792287349701,0.9569999575614929,0.4710805416107178,0.944599986076355,0.4489792287349701,0.9569999575614929,0.4710805416107178,0.944599986076355,,,,
10,0.40944162011146545,0.9550000429153442,0.43659961223602295,0.9457999467849731,0.40944162011146545,0.9550000429153442,0.43659961223602295,0.9457999467849731,0.40944162011146545,0.9550000429153442,0.43659961223602295,0.9457999467849731,,,,
11,0.37679851055145264,0.9609999656677246,0.40608692169189453,0.9484999775886536,0.37679851055145264,0.9609999656677246,0.40608692169189453,0.9484999775886536,0.37679851055145264,0.9609999656677246,0.40608692169189453,0.9484999775886536,,,,
12,0.34889161586761475,0.9639999270439148,0.3815091550350189,0.9500999450683594,0.34889161586761475,0.9639999270439148,0.3815091550350189,0.9500999450683594,0.34889161586761475,0.9639999270439148,0.3815091550350189,0.9500999450683594,,,,
13,0.32523205876350403,0.9639999270439148,0.35950976610183716,0.9513999819755554,0.32523205876350403,0.9639999270439148,0.35950976610183716,0.9513999819755554,0.32523205876350403,0.9639999270439148,0.35950976610183716,0.9513999819755554,,,,
14,0.30495569109916687,0.9660000205039978,0.34073296189308167,0.9519999623298645,0.30495569109916687,0.9660000205039978,0.34073296189308167,0.9519999623298645,0.30495569109916687,0.9660000205039978,0.34073296189308167,0.9519999623298645,,,,
15,0.2870979607105255,0.9660000205039978,0.32533973455429077,0.9537000060081482,0.2870979607105255,0.9660000205039978,0.32533973455429077,0.9537000060081482,0.2870979607105255,0.9660000205039978,0.32533973455429077,0.9537000060081482,,,,
16,0.2716878056526184,0.9660000205039978,0.3111441433429718,0.9544000029563904,0.2716878056526184,0.9660000205039978,0.3111441433429718,0.9544000029563904,0.2716878056526184,0.9660000205039978,0.3111441433429718,0.9544000029563904,,,,
17,0.25776407122612,0.9660000205039978,0.2982008159160614,0.9544999599456787,0.25776407122612,0.9660000205039978,0.2982008159160614,0.9544999599456787,0.25776407122612,0.9660000205039978,0.2982008159160614,0.9544999599456787,,,,
18,0.24562512338161469,0.968000054359436,0.2873806059360504,0.9549999833106995,0.24562512338161469,0.968000054359436,0.2873806059360504,0.9549999833106995,0.24562512338161469,0.968000054359436,0.2873806059360504,0.9549999833106995,,,,
