,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,1.1353952884674072,0.7580000162124634,0.40684035420417786,0.9508000016212463,1.1353952884674072,0.7580000162124634,0.40684035420417786,0.9508000016212463,1.1353952884674072,0.7580000162124634,0.40684035420417786,0.9508000016212463,,,,
1,0.2835272252559662,0.952000081539154,0.20547030866146088,0.963200032711029,0.2835272252559662,0.952000081539154,0.20547030866146088,0.963200032711029,0.2835272252559662,0.952000081539154,0.20547030866146088,0.963200032711029,,,,
2,0.17027640342712402,0.9719999432563782,0.15932725369930267,0.9685999751091003,0.17027640342712402,0.9719999432563782,0.15932725369930267,0.9685999751091003,0.17027640342712402,0.9719999432563782,0.15932725369930267,0.9685999751091003,,,,
3,0.13164174556732178,0.9770000576972961,0.1376306414604187,0.9714999198913574,0.13164174556732178,0.9770000576972961,0.1376306414604187,0.9714999198913574,0.13164174556732178,0.9770000576972961,0.1376306414604187,0.9714999198913574,,,,
4,0.1087879091501236,0.9850000739097595,0.12541526556015015,0.9719999432563782,0.1087879091501236,0.9850000739097595,0.12541526556015015,0.9719999432563782,0.1087879091501236,0.9850000739097595,0.12541526556015015,0.9719999432563782,,,,
5,0.0928669273853302,0.9869999885559082,0.11759599298238754,0.9719999432563782,0.0928669273853302,0.9869999885559082,0.11759599298238754,0.9719999432563782,0.0928669273853302,0.9869999885559082,0.11759599298238754,0.9719999432563782,,,,
6,0.08166515827178955,0.9890000224113464,0.10935689508914948,0.9738999605178833,0.08166515827178955,0.9890000224113464,0.10935689508914948,0.9738999605178833,0.08166515827178955,0.9890000224113464,0.10935689508914948,0.9738999605178833,,,,
7,0.07168342918157578,0.9899999499320984,0.10461385548114777,0.974299967288971,0.07168342918157578,0.9899999499320984,0.10461385548114777,0.974299967288971,0.07168342918157578,0.9899999499320984,0.10461385548114777,0.974299967288971,,,,
8,0.06411830335855484,0.9920000433921814,0.10076248645782471,0.9747999906539917,0.06411830335855484,0.9920000433921814,0.10076248645782471,0.9747999906539917,0.06411830335855484,0.9920000433921814,0.10076248645782471,0.9747999906539917,,,,
9,0.057688336819410324,0.9909999966621399,0.09581881016492844,0.9750999808311462,0.057688336819410324,0.9909999966621399,0.09581881016492844,0.9750999808311462,0.057688336819410324,0.9909999966621399,0.09581881016492844,0.9750999808311462,,,,
10,0.05206158757209778,0.9940000772476196,0.09687785804271698,0.9740999937057495,0.05206158757209778,0.9940000772476196,0.09687785804271698,0.9740999937057495,0.05206158757209778,0.9940000772476196,0.09687785804271698,0.9740999937057495,,,,
11,0.04731558635830879,0.9940000772476196,0.09312694519758224,0.9751999974250793,0.04731558635830879,0.9940000772476196,0.09312694519758224,0.9751999974250793,0.04731558635830879,0.9940000772476196,0.09312694519758224,0.9751999974250793,,,,
12,0.043622445315122604,0.9950000643730164,0.09083128720521927,0.975399911403656,0.043622445315122604,0.9950000643730164,0.09083128720521927,0.975399911403656,0.043622445315122604,0.9950000643730164,0.09083128720521927,0.975399911403656,,,,
13,0.04023318365216255,0.9959999918937683,0.08929463475942612,0.976099967956543,0.04023318365216255,0.9959999918937683,0.08929463475942612,0.976099967956543,0.04023318365216255,0.9959999918937683,0.08929463475942612,0.976099967956543,,,,
14,0.03669430688023567,0.9969999194145203,0.08829488605260849,0.9753000140190125,0.03669430688023567,0.9969999194145203,0.08829488605260849,0.9753000140190125,0.03669430688023567,0.9969999194145203,0.08829488605260849,0.9753000140190125,,,,
15,0.03400592505931854,0.9979999661445618,0.085694320499897,0.9760000109672546,0.03400592505931854,0.9979999661445618,0.085694320499897,0.9760000109672546,0.03400592505931854,0.9979999661445618,0.085694320499897,0.9760000109672546,,,,
16,0.03219325467944145,0.9979999661445618,0.08525647222995758,0.9757999777793884,0.03219325467944145,0.9979999661445618,0.08525647222995758,0.9757999777793884,0.03219325467944145,0.9979999661445618,0.08525647222995758,0.9757999777793884,,,,
17,0.029588520526885986,0.9990000128746033,0.08495713770389557,0.9757999777793884,0.029588520526885986,0.9990000128746033,0.08495713770389557,0.9757999777793884,0.029588520526885986,0.9990000128746033,0.08495713770389557,0.9757999777793884,,,,
