,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,4.205775260925293,3.457758903503418,0.57861328125,1.441552758216858,4.205775260925293,3.457758903503418,0.57861328125,1.441552758216858,4.205775260925293,3.457758903503418,0.57861328125,1.441552758216858,,,,
1,2.886699914932251,2.42956280708313,0.4559570252895355,1.948583960533142,2.886699914932251,2.42956280708313,0.4559570252895355,1.948583960533142,2.886699914932251,2.42956280708313,0.4559570252895355,1.948583960533142,,,,
2,2.1109163761138916,1.8247430324554443,0.2906250059604645,3.9896485805511475,2.1109163761138916,1.8247430324554443,0.2906250059604645,3.9896485805511475,2.1109163761138916,1.8247430324554443,0.2906250059604645,3.9896485805511475,,,,
3,1.6760303974151611,1.5904045104980469,0.3642578125,7.657324314117432,1.6760303974151611,1.5904045104980469,0.3642578125,7.657324314117432,1.6760303974151611,1.5904045104980469,0.3642578125,7.657324314117432,,,,
4,1.519445776939392,1.4837697744369507,0.25048828125,9.501953125,1.519445776939392,1.4837697744369507,0.25048828125,9.501953125,1.519445776939392,1.4837697744369507,0.25048828125,9.501953125,,,,
5,1.405969500541687,1.3212414979934692,0.3597656190395355,6.615429878234863,1.405969500541687,1.3212414979934692,0.3597656190395355,6.615429878234863,1.405969500541687,1.3212414979934692,0.3597656190395355,6.615429878234863,,,,
6,1.2519557476043701,1.1838356256484985,0.31914064288139343,8.986230850219727,1.2519557476043701,1.1838356256484985,0.31914064288139343,8.986230850219727,1.2519557476043701,1.1838356256484985,0.31914064288139343,8.986230850219727,,,,
7,1.0995408296585083,1.0370043516159058,0.23818360269069672,8.883984565734863,1.0995408296585083,1.0370043516159058,0.23818360269069672,8.883984565734863,1.0995408296585083,1.0370043516159058,0.23818360269069672,8.883984565734863,,,,
8,1.012888789176941,1.0443781614303589,0.13798828423023224,5.894238471984863,1.012888789176941,1.0443781614303589,0.13798828423023224,5.894238471984863,1.012888789176941,1.0443781614303589,0.13798828423023224,5.894238471984863,,,,
9,0.9180715680122375,0.8313161134719849,0.10136719048023224,11.10703182220459,0.9180715680122375,0.8313161134719849,0.10136719048023224,11.10703182220459,0.9180715680122375,0.8313161134719849,0.10136719048023224,11.10703182220459,,,,
10,0.722744345664978,0.6239379048347473,0.32392579317092896,7.644433498382568,0.722744345664978,0.6239379048347473,0.32392579317092896,7.644433498382568,0.722744345664978,0.6239379048347473,0.32392579317092896,7.644433498382568,,,,
11,0.5137641429901123,0.40804338455200195,0.24326172471046448,12.544140815734863,0.5137641429901123,0.40804338455200195,0.24326172471046448,12.544140815734863,0.5137641429901123,0.40804338455200195,0.24326172471046448,12.544140815734863,,,,
12,0.31962186098098755,0.23616662621498108,0.24775390326976776,11.525195121765137,0.31962186098098755,0.23616662621498108,0.24775390326976776,11.525195121765137,0.31962186098098755,0.23616662621498108,0.24775390326976776,11.525195121765137,,,,
13,0.21892881393432617,0.18612836301326752,0.3021484315395355,9.435351371765137,0.21892881393432617,0.18612836301326752,0.3021484315395355,9.435351371765137,0.21892881393432617,0.18612836301326752,0.3021484315395355,9.435351371765137,,,,
14,0.16408748924732208,0.1276397854089737,0.33476564288139343,6.624218940734863,0.16408748924732208,0.1276397854089737,0.33476564288139343,6.624218940734863,0.16408748924732208,0.1276397854089737,0.33476564288139343,6.624218940734863,,,,
15,0.1151682436466217,0.09166920930147171,0.18808594346046448,17.639062881469727,0.1151682436466217,0.09166920930147171,0.18808594346046448,17.639062881469727,0.1151682436466217,0.09166920930147171,0.18808594346046448,17.639062881469727,,,,
16,0.07049552351236343,0.052639786154031754,0.33916017413139343,7.668750286102295,0.07049552351236343,0.052639786154031754,0.33916017413139343,7.668750286102295,0.07049552351236343,0.052639786154031754,0.33916017413139343,7.668750286102295,,,,
17,0.04175418242812157,0.02879965677857399,0.18017578125,9.117383003234863,0.04175418242812157,0.02879965677857399,0.18017578125,9.117383003234863,0.04175418242812157,0.02879965677857399,0.18017578125,9.117383003234863,,,,
18,0.022006647661328316,0.012307705357670784,0.22480468451976776,7.945703029632568,0.022006647661328316,0.012307705357670784,0.22480468451976776,7.945703029632568,0.022006647661328316,0.012307705357670784,0.22480468451976776,7.945703029632568,,,,
