,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,0.8160228729248047,0.8323333263397217,0.23862757782141367,0.9487999677658081,0.803034782409668,0.828000009059906,0.23004606366157532,0.944599986076355,0.8338211178779602,0.8359999656677246,0.25180673599243164,0.9536999464035034,0.015946874370225378,0.004041431806961496,0.011586002887660428,0.004590186955297154
1,0.1581981231768926,0.9649999936421713,0.14824000497659048,0.9622999628384908,0.1512959748506546,0.9569999575614929,0.14035646617412567,0.9595999717712402,0.1678745597600937,0.9699999690055847,0.15341994166374207,0.9655999541282654,0.00863046209072335,0.0070000248297478205,0.006938709985681533,0.003044658810347212
2,0.1024397611618042,0.9786667029062907,0.12660194685061774,0.9666666189829508,0.09995625168085098,0.9770000576972961,0.12089350074529648,0.9651999473571777,0.10699772834777832,0.9800000190734863,0.12952043116092682,0.9685999751091003,0.00395261046526988,0.001527505565370602,0.004944076982840433,0.0017473960614667874
3,0.07502680271863937,0.9856667319933573,0.11688108245531718,0.96916663646698,0.07328487932682037,0.984000027179718,0.11262588202953339,0.9677000045776367,0.07803680747747421,0.9870001077651978,0.11947274208068848,0.9708999395370483,0.0026174850624738383,0.001527564096011373,0.003714215817101055,0.0016165491254793811
4,0.06090922529498736,0.9906666874885559,0.11221945037444432,0.9695999622344971,0.058090414851903915,0.9890000224113464,0.1117066740989685,0.9693999886512756,0.0654410794377327,0.9920000433921814,0.11305376887321472,0.9697999358177185,0.003963452598562625,0.001527531579136392,0.000728840266259542,0.00019997358322143555
5,0.048779444148143135,0.9933333794275919,0.10673792660236359,0.9713999629020691,0.04676384851336479,0.9930000305175781,0.10336819291114807,0.97079998254776,0.05191030725836754,0.9940000772476196,0.10870517790317535,0.9719999432563782,0.002748522432115971,0.0005773772487916673,0.0029319054969124724,0.000599980354309082
6,0.04068120941519737,0.9956666628519694,0.1058448851108551,0.9698999524116516,0.038666773587465286,0.9950000047683716,0.10427270829677582,0.9683999419212341,0.04225372150540352,0.9959999918937683,0.10892949998378754,0.9710999727249146,0.0018338542155367822,0.0005773428360339612,0.002671521825749506,0.0013747862251992829
7,0.03357667724291483,0.99699999888738,0.10107863197724025,0.9713999629020691,0.032709356397390366,0.9959999918937683,0.09866836667060852,0.9707999229431152,0.035310886800289154,0.9979999661445618,0.10341553390026093,0.9724000096321106,0.0015018695477141814,0.0009999871259888551,0.002374433788529924,0.0008718218945186042
8,0.028618529438972473,0.9990000128746033,0.1021498367190361,0.9706666668256124,0.027849262580275536,0.9990000128746033,0.09986410290002823,0.9690999984741211,0.029536668211221695,0.9990000128746033,0.10439826548099518,0.9726999998092651,0.0008534966759283487,0.0,0.0022673114757618277,0.0018448128123044122
9,0.02472146414220333,0.9990000128746033,0.09813540677229564,0.9716333150863647,0.023999013006687164,0.9990000128746033,0.09629949182271957,0.9703999757766724,0.0255292896181345,0.9990000128746033,0.10017313063144684,0.9728000164031982,0.0007687022898278996,0.0,0.0019446888008386911,0.0012014071827706372
10,0.021594634900490444,0.9993333419164022,0.09754170725742976,0.970966637134552,0.02084110677242279,0.9990000128746033,0.09605810791254044,0.9685999751091003,0.02303663268685341,1.0,0.10038812458515167,0.9726999402046204,0.0012492303082414589,0.0005773428360339612,0.0024658093472573546,0.002122094748330948
11,0.01909601626296838,1.0,0.09554515530665715,0.9715666572252909,0.018617913126945496,1.0,0.09353625774383545,0.9700999855995178,0.01984453946352005,1.0,0.09820615500211716,0.9731000065803528,0.0006565046084144356,0.0,0.0024022724646197637,0.0015011215510576806
12,0.017084245880444843,1.0,0.09499028076728185,0.9712666074434916,0.016504688188433647,1.0,0.09267523884773254,0.9697999358177185,0.018013490363955498,1.0,0.09808055311441422,0.973099946975708,0.0008129155185668159,0.0,0.0027847966249415885,0.0016802834361873075
13,0.015536385277907053,1.0,0.0946903998653094,0.9712666471799215,0.015007940120995045,1.0,0.09224605560302734,0.9696000218391418,0.016457054764032364,1.0,0.09830199927091599,0.973099946975708,0.0008002270024726812,0.0,0.003192252630098896,0.0017559055415527927
14,0.014106157546242079,1.0,0.09352469195922215,0.9713666439056396,0.013683298602700233,1.0,0.0920131728053093,0.9704999923706055,0.014930429868400097,1.0,0.09583259373903275,0.9727999567985535,0.0007139213008942756,0.0,0.002030434197989446,0.0012503151256151536
