,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,77406.375,63802.625,0.09541016072034836,6.587597846984863,77406.375,63802.625,0.09541016072034836,6.587597846984863,77406.375,63802.625,0.09541016072034836,6.587597846984863,,,,
1,64042.69140625,57953.25,0.10625000298023224,6.59765625,64042.69140625,57953.25,0.10625000298023224,6.59765625,64042.69140625,57953.25,0.10625000298023224,6.59765625,,,,
2,61998.58203125,61060.16796875,0.09716796875,6.529980659484863,61998.58203125,61060.16796875,0.09716796875,6.529980659484863,61998.58203125,61060.16796875,0.09716796875,6.529980659484863,,,,
3,61057.7578125,62264.69140625,0.10556640475988388,6.461328029632568,61057.7578125,62264.69140625,0.10556640475988388,6.461328029632568,61057.7578125,62264.69140625,0.10556640475988388,6.461328029632568,,,,
4,61263.15625,59854.140625,0.0947265625,6.640429973602295,61263.15625,59854.140625,0.0947265625,6.640429973602295,61263.15625,59854.140625,0.0947265625,6.640429973602295,,,,
5,59883.828125,58951.34375,0.09375,6.606054782867432,59883.828125,58951.34375,0.09375,6.606054782867432,59883.828125,58951.34375,0.09375,6.606054782867432,,,,
6,60877.23046875,61965.15625,0.10332031548023224,6.502831935882568,60877.23046875,61965.15625,0.10332031548023224,6.502831935882568,60877.23046875,61965.15625,0.10332031548023224,6.502831935882568,,,,
7,59765.05078125,60045.859375,0.09912109375,6.618554592132568,59765.05078125,60045.859375,0.09912109375,6.618554592132568,59765.05078125,60045.859375,0.09912109375,6.618554592132568,,,,
8,60075.625,60591.6953125,0.09931641072034836,6.606835842132568,60075.625,60591.6953125,0.09931641072034836,6.606835842132568,60075.625,60591.6953125,0.09931641072034836,6.606835842132568,,,,
9,61166.51953125,58269.69921875,0.095703125,6.457324504852295,61166.51953125,58269.69921875,0.095703125,6.457324504852295,61166.51953125,58269.69921875,0.095703125,6.457324504852295,,,,
10,60202.45703125,57784.796875,0.10029297322034836,6.508203029632568,60202.45703125,57784.796875,0.10029297322034836,6.508203029632568,60202.45703125,57784.796875,0.10029297322034836,6.508203029632568,,,,
11,58099.05078125,57671.18359375,0.09658203274011612,6.500293254852295,58099.05078125,57671.18359375,0.09658203274011612,6.500293254852295,58099.05078125,57671.18359375,0.09658203274011612,6.500293254852295,,,,
12,58736.38671875,60025.2734375,0.09941406548023224,6.604589939117432,58736.38671875,60025.2734375,0.09941406548023224,6.604589939117432,58736.38671875,60025.2734375,0.09941406548023224,6.604589939117432,,,,
13,57917.57421875,57836.43359375,0.10048828274011612,6.70947265625,57917.57421875,57836.43359375,0.10048828274011612,6.70947265625,57917.57421875,57836.43359375,0.10048828274011612,6.70947265625,,,,
14,58178.16796875,56407.81640625,0.09560547024011612,6.553124904632568,58178.16796875,56407.81640625,0.09560547024011612,6.553124904632568,58178.16796875,56407.81640625,0.09560547024011612,6.553124904632568,,,,
15,57653.09765625,57668.578125,0.09980469197034836,6.5458984375,57653.09765625,57668.578125,0.09980469197034836,6.5458984375,57653.09765625,57668.578125,0.09980469197034836,6.5458984375,,,,
16,57738.84765625,58648.30859375,0.09414062649011612,6.55517578125,57738.84765625,58648.30859375,0.09414062649011612,6.55517578125,57738.84765625,58648.30859375,0.09414062649011612,6.55517578125,,,,
17,57470.22265625,57499.32421875,0.10283203423023224,6.701855659484863,57470.22265625,57499.32421875,0.10283203423023224,6.701855659484863,57470.22265625,57499.32421875,0.10283203423023224,6.701855659484863,,,,
18,57846.875,58045.0,0.10166015475988388,6.636523723602295,57846.875,58045.0,0.10166015475988388,6.636523723602295,57846.875,58045.0,0.10166015475988388,6.636523723602295,,,,
19,57458.0,56908.8828125,0.1044921875,6.470800876617432,57458.0,56908.8828125,0.1044921875,6.470800876617432,57458.0,56908.8828125,0.1044921875,6.470800876617432,,,,
20,55993.48828125,55519.25,0.09658203274011612,6.779101848602295,55993.48828125,55519.25,0.09658203274011612,6.779101848602295,55993.48828125,55519.25,0.09658203274011612,6.779101848602295,,,,
21,57400.421875,59719.95703125,0.09853515774011612,6.282031536102295,57400.421875,59719.95703125,0.09853515774011612,6.282031536102295,57400.421875,59719.95703125,0.09853515774011612,6.282031536102295,,,,
