,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss,Encoder/train_loss,Encoder/val_loss,Encoder/1step_val_acc,Encoder/1step_val_loss
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,67851.203125,42137.984375,0.7357422113418579,0.749114990234375,67851.203125,42137.984375,0.7357422113418579,0.749114990234375,67851.203125,42137.984375,0.7357422113418579,0.749114990234375,,,,
1,33738.390625,29612.427734375,0.8241211175918579,0.5804504752159119,33738.390625,29612.427734375,0.8241211175918579,0.5804504752159119,33738.390625,29612.427734375,0.8241211175918579,0.5804504752159119,,,,
2,28566.53125,28000.55859375,0.82421875,0.5989319086074829,28566.53125,28000.55859375,0.82421875,0.5989319086074829,28566.53125,28000.55859375,0.82421875,0.5989319086074829,,,,
3,27054.744140625,26834.88671875,0.8213867545127869,0.607464611530304,27054.744140625,26834.88671875,0.8213867545127869,0.607464611530304,27054.744140625,26834.88671875,0.8213867545127869,0.607464611530304,,,,
4,26594.376953125,26498.876953125,0.82568359375,0.6163574457168579,26594.376953125,26498.876953125,0.82568359375,0.6163574457168579,26594.376953125,26498.876953125,0.82568359375,0.6163574457168579,,,,
5,26169.64453125,26080.828125,0.8233398795127869,0.6238769888877869,26169.64453125,26080.828125,0.8233398795127869,0.6238769888877869,26169.64453125,26080.828125,0.8233398795127869,0.6238769888877869,,,,
6,25921.12109375,26169.8203125,0.8294922113418579,0.608020007610321,25921.12109375,26169.8203125,0.8294922113418579,0.608020007610321,25921.12109375,26169.8203125,0.8294922113418579,0.608020007610321,,,,
7,26067.482421875,25710.75,0.804882824420929,0.676196277141571,26067.482421875,25710.75,0.804882824420929,0.676196277141571,26067.482421875,25710.75,0.804882824420929,0.676196277141571,,,,
8,25478.38671875,25338.068359375,0.8208984732627869,0.6174988150596619,25478.38671875,25338.068359375,0.8208984732627869,0.6174988150596619,25478.38671875,25338.068359375,0.8208984732627869,0.6174988150596619,,,,
9,25376.669921875,25794.037109375,0.808789074420929,0.6639404296875,25376.669921875,25794.037109375,0.808789074420929,0.6639404296875,25376.669921875,25794.037109375,0.808789074420929,0.6639404296875,,,,
10,25480.900390625,25955.73828125,0.8111328482627869,0.6771301627159119,25480.900390625,25955.73828125,0.8111328482627869,0.6771301627159119,25480.900390625,25955.73828125,0.8111328482627869,0.6771301627159119,,,,
11,24937.966796875,25390.158203125,0.800000011920929,0.6704040765762329,24937.966796875,25390.158203125,0.800000011920929,0.6704040765762329,24937.966796875,25390.158203125,0.800000011920929,0.6704040765762329,,,,
12,24816.353515625,25335.845703125,0.817675769329071,0.658673107624054,24816.353515625,25335.845703125,0.817675769329071,0.658673107624054,24816.353515625,25335.845703125,0.817675769329071,0.658673107624054,,,,
13,24703.40625,25328.341796875,0.7918945550918579,0.68463134765625,24703.40625,25328.341796875,0.7918945550918579,0.68463134765625,24703.40625,25328.341796875,0.7918945550918579,0.68463134765625,,,,
14,24564.345703125,25048.716796875,0.795214831829071,0.7062439322471619,24564.345703125,25048.716796875,0.795214831829071,0.7062439322471619,24564.345703125,25048.716796875,0.795214831829071,0.7062439322471619,,,,
15,24521.1640625,24962.5625,0.799609363079071,0.691723644733429,24521.1640625,24962.5625,0.799609363079071,0.691723644733429,24521.1640625,24962.5625,0.799609363079071,0.691723644733429,,,,
16,24460.82421875,25008.974609375,0.793164074420929,0.727447509765625,24460.82421875,25008.974609375,0.793164074420929,0.727447509765625,24460.82421875,25008.974609375,0.793164074420929,0.727447509765625,,,,
17,24372.892578125,24998.068359375,0.785449206829071,0.7386230826377869,24372.892578125,24998.068359375,0.785449206829071,0.7386230826377869,24372.892578125,24998.068359375,0.785449206829071,0.7386230826377869,,,,
18,24297.962890625,25190.923828125,0.78271484375,0.726916491985321,24297.962890625,25190.923828125,0.78271484375,0.726916491985321,24297.962890625,25190.923828125,0.78271484375,0.726916491985321,,,,
19,24320.00390625,24939.841796875,0.8021484613418579,0.7007080316543579,24320.00390625,24939.841796875,0.8021484613418579,0.7007080316543579,24320.00390625,24939.841796875,0.8021484613418579,0.7007080316543579,,,,
20,24211.908203125,25014.712890625,0.80078125,0.70654296875,24211.908203125,25014.712890625,0.80078125,0.70654296875,24211.908203125,25014.712890625,0.80078125,0.70654296875,,,,
