,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc,Classifier/train_loss,Classifier/train_acc,Classifier/val_loss,Classifier/val_acc
,mean,mean,mean,mean,min,min,min,min,max,max,max,max,std,std,std,std
step,,,,,,,,,,,,,,,,
0,1.832219918568929,0.6110000014305115,1.4205092986424763,0.8035332957903544,1.8112667798995972,0.6010000109672546,1.3907769918441772,0.7923999428749084,1.8572343587875366,0.6299999952316284,1.4482702016830444,0.8252999782562256,0.023251348453591808,0.016462072071722973,0.028797258879553117,0.018852157834554097
1,1.1083365281422932,0.86299995581309,0.9532920916875204,0.8652666608492533,1.0778160095214844,0.8559999465942383,0.9194476008415222,0.8580000400543213,1.1430491209030151,0.8729999661445618,0.981676459312439,0.8761000037193298,0.03281798012255926,0.008888204047198528,0.031471692293875385,0.009562599068226664
2,0.7522357900937399,0.905999998251597,0.7076291839281718,0.8951332966486613,0.7225052118301392,0.8989999890327454,0.6809112429618835,0.8917999267578125,0.7825678586959839,0.9120000004768372,0.7298202514648438,0.8996999859809875,0.03003584075905655,0.0065574449961157575,0.02476675625655251,0.0040918872865663095
3,0.5692691802978516,0.9226666490236918,0.5715581178665161,0.9103332956631979,0.544697105884552,0.9210000038146973,0.5492210388183594,0.9065999984741211,0.5913262367248535,0.925000011920929,0.5904399156570435,0.913599967956543,0.02341608309120122,0.002081682148970267,0.02082554149086274,0.003523236762367354
4,0.46259304881095886,0.9343333045641581,0.4880439241727193,0.918899933497111,0.4406042993068695,0.9319999814033508,0.4713643491268158,0.9159999489784241,0.48038607835769653,0.9379999041557312,0.5015814304351807,0.9216999411582947,0.020220052808600536,0.0032144965063380577,0.015351626880529462,0.0028513109689533487
5,0.3939465085665385,0.9389999906222025,0.43257104357083637,0.9236665964126587,0.3752351403236389,0.9359999895095825,0.4194393754005432,0.9203999042510986,0.40808209776878357,0.9409999847412109,0.4435994625091553,0.9272999167442322,0.016894791171318327,0.0026457510407313254,0.012216595076893601,0.0034645858717363746
6,0.3460959792137146,0.9416666428248087,0.3923407793045044,0.9276332457860311,0.32900068163871765,0.9369999766349792,0.38007158041000366,0.9252999424934387,0.35852155089378357,0.9479999542236328,0.4028269946575165,0.9312998652458191,0.015304417184067961,0.005686225147425885,0.011482007321278447,0.003214508867605106
7,0.3103824555873871,0.9439999659856161,0.3611331383387248,0.9307666222254435,0.29432961344718933,0.9399999976158142,0.3496061861515045,0.9288999438285828,0.3205350339412689,0.9479999542236328,0.37064018845558167,0.9339998960494995,0.014063813507685777,0.0039999783039463095,0.010661487537504996,0.0028112391325057365
8,0.28230034311612445,0.9473333160082499,0.3391360640525818,0.9322999914487203,0.26738378405570984,0.9429999589920044,0.32949501276016235,0.930400013923645,0.29187795519828796,0.949999988079071,0.3465996980667114,0.9341000318527222,0.013090812469740351,0.00378595837740235,0.00875776366213802,0.00185203232693153
9,0.2598876605431239,0.9523333112398783,0.3201730251312256,0.9345332384109497,0.24565158784389496,0.9490000009536743,0.3124852180480957,0.9330999255180359,0.2690778374671936,0.9549999237060547,0.32563892006874084,0.9358999133110046,0.012501723520523164,0.0030550176343280156,0.006852564439616993,0.0014011828491537778
10,0.24197094639142355,0.9559999903043112,0.3057448963324229,0.9354666272799174,0.2283925861120224,0.9539999961853027,0.29814714193344116,0.9333999156951904,0.2511252164840698,0.9590000510215759,0.3108527958393097,0.9376999735832214,0.011994688465876835,0.002645796097991279,0.006708795967362165,0.00215486654045694
11,0.22605330248673758,0.9589999516805013,0.2926567296187083,0.9365332921346029,0.21287189424037933,0.9569999575614929,0.2851243019104004,0.9353998899459839,0.23447714745998383,0.9629999399185181,0.2979711592197418,0.9380999803543091,0.01156168447476645,0.003464091428961474,0.006704481514968131,0.0014012225525711214
12,0.2131552348534266,0.9619999726613363,0.2821655770142873,0.9373999635378519,0.20053374767303467,0.9599999785423279,0.2762940526008606,0.9368999004364014,0.22181811928749084,0.9649999737739563,0.28659069538116455,0.9380999803543091,0.011180743290720522,0.0026457510407313254,0.0052985168655877235,0.0006245270758342071
13,0.20153902967770895,0.9636666973431905,0.27341649929682416,0.9381999969482422,0.18929986655712128,0.9600000381469727,0.2683897614479065,0.9372000098228455,0.20878295600414276,0.968000054359436,0.2765079438686371,0.9394999742507935,0.010658892370805294,0.004041463761725627,0.004391496499528353,0.001178963388849904
