,train/loss,train/accuracy,val/loss,val/accuracy,test/accuracy,train/loss,train/accuracy,val/loss,val/accuracy,test/accuracy,train/loss,train/accuracy,val/loss,val/accuracy,test/accuracy,train/loss,train/accuracy,val/loss,val/accuracy,test/accuracy
,mean,mean,mean,mean,mean,min,min,min,min,min,max,max,max,max,max,std,std,std,std,std
step,,,,,,,,,,,,,,,,,,,,
0,2.3168750286102293,0.20000000447034835,2.932931423187256,0.423600035905838,0.40111997723579407,2.2515625953674316,0.10000000149011612,2.440659761428833,0.4002000391483307,0.3700000047683716,2.413281202316284,0.4000000059604645,3.305614471435547,0.4538000226020813,0.4592999815940857,0.06722515633936955,0.14142135966174096,0.3666562947513778,0.02063006522432727,0.0344750168284899
1,0.00631317850202322,1.0,4.179958295822144,0.43646002411842344,,0.002120447112247348,1.0,3.350034713745117,0.4140000343322754,,0.010601675137877464,1.0,4.858940124511719,0.46740004420280457,,0.003766225413322575,0.0,0.648428749465307,0.021313686291741026,
2,0.00014914989515091293,1.0,5.077154159545898,0.44396003484725954,,2.2423268092097715e-05,1.0,4.006843090057373,0.4221000373363495,,0.0002736568567343056,1.0,5.974531173706055,0.4758000075817108,,0.00010446656787045785,0.0,0.8401416984065387,0.022368329780022695,
3,9.410381335328565e-06,1.0,5.764931011199951,0.4497000277042389,,7.748603820800781e-07,1.0,4.523207187652588,0.42590004205703735,,1.9550323486328125e-05,1.0,6.805067539215088,0.4823000133037567,,7.2802070433764905e-06,0.0,0.9704316994764104,0.022808429578798365,
4,1.1038780101557677e-06,1.0,6.326239490509034,0.45362000465393065,,3.5762788286319847e-08,1.0,4.953874588012695,0.42910003662109375,,2.47955313170678e-06,1.0,7.471957683563232,0.4869999885559082,,9.2210520703114e-07,0.0,1.0653349448646006,0.023654316219903503,
5,1.692771903094581e-07,1.0,6.8024218559265135,0.4571000158786774,,0.0,1.0,5.328012943267822,0.4327000081539154,,3.9339064983323624e-07,1.0,8.019183158874512,0.49000000953674316,,1.4536691601606111e-07,0.0,1.132204130539256,0.0235528098188186,
6,3.5762787575777113e-08,1.0,7.223932838439941,0.4592800259590149,,0.0,1.0,5.66698694229126,0.4345000386238098,,9.536743306171047e-08,1.0,8.49590015411377,0.4936000406742096,,3.576278739814143e-08,0.0,1.1853548813797388,0.024405068008545836,
7,7.152557479628285e-09,1.0,7.604348468780517,0.4609200119972229,,0.0,1.0,5.974793434143066,0.4360000193119049,,2.3841858265427618e-08,1.0,8.919145584106445,0.4969000518321991,,1.0662403158282275e-08,0.0,1.2265695608530138,0.024779788505757135,
8,0.0,1.0,7.95445613861084,0.4617800176143646,,0.0,1.0,6.264640808105469,0.4374000132083893,,0.0,1.0,9.296550750732422,0.49799999594688416,,0.0,0.0,1.2585202247024252,0.024620758942453257,
9,0.0,1.0,8.280933284759522,0.4617600321769714,,0.0,1.0,6.537144660949707,0.4369000494480133,,0.0,1.0,9.644869804382324,0.4984000325202942,,0.0,0.0,1.2828882715332168,0.02461001692398423,
10,0.0,1.0,8.587876033782958,0.4617000460624695,,0.0,1.0,6.793488502502441,0.4376000463962555,,0.0,1.0,9.96893310546875,0.49830004572868347,,0.0,0.0,1.3064062046212803,0.024155433547520193,
11,0.0,1.0,8.87703342437744,0.46172002553939817,,0.0,1.0,7.0407915115356445,0.43800002336502075,,0.0,1.0,10.268050193786621,0.49869999289512634,,0.0,0.0,1.3219205703998014,0.024225540286677973,
12,0.0,1.0,9.148854160308838,0.461540025472641,,0.0,1.0,7.270869731903076,0.4392000138759613,,0.0,1.0,10.55212688446045,0.4984000325202942,,0.0,0.0,1.3379678478049857,0.02359593309586404,
13,0.0,1.0,9.411008548736572,0.4608800232410431,,0.0,1.0,7.494475841522217,0.4385000169277191,,0.0,1.0,10.81926155090332,0.4966000020503998,,0.0,0.0,1.350608351125697,0.022985574263388334,
14,0.0,1.0,9.65787868499756,0.46048001646995546,,0.0,1.0,7.709907531738281,0.4394000172615051,,0.0,1.0,11.067842483520508,0.4960000216960907,,0.0,0.0,1.3599226483068723,0.022419787312059986,
15,0.0,1.0,9.898491477966308,0.46034001708030703,,0.0,1.0,7.919877052307129,0.43970003724098206,,0.0,1.0,11.307565689086914,0.49650001525878906,,0.0,0.0,1.3672567219505998,0.022428384412698586,
16,0.0,1.0,10.124604034423829,0.46036003828048705,,0.0,1.0,8.119302749633789,0.44040003418922424,,0.0,1.0,11.53591251373291,0.49619999527931213,,0.0,0.0,1.3739213966617958,0.02216556009041318,
17,0.0,1.0,10.343322563171387,0.4604600310325623,,0.0,1.0,8.309471130371094,0.4410000443458557,,0.0,1.0,11.755914688110352,0.4962000548839569,,0.0,0.0,1.3811788961964069,0.021893454342630604,
18,0.0,1.0,10.55320873260498,0.45998002886772155,,0.0,1.0,8.501082420349121,0.4400000274181366,,0.0,1.0,11.95797061920166,0.4961000382900238,,0.0,0.0,1.3816993437234413,0.022128647826524926,
19,0.0,1.0,10.752208137512207,0.45936003923416135,,0.0,1.0,8.674338340759277,0.43960005044937134,,0.0,1.0,12.156142234802246,0.49570003151893616,,0.0,0.0,1.388042123886549,0.022048423565738957,
20,0.0,1.0,10.946841812133789,0.4590800404548645,,0.0,1.0,8.849745750427246,0.4393000304698944,,0.0,1.0,12.347024917602539,0.4952000677585602,,0.0,0.0,1.3887658856760046,0.021867957913939754,
21,0.0,1.0,11.131510353088379,0.4586800277233124,,0.0,1.0,9.018567085266113,0.43880006670951843,,0.0,1.0,12.531553268432617,0.4953000247478485,,0.0,0.0,1.391174186785264,0.02208691515585824,
22,0.0,1.0,11.313628959655762,0.4584000289440155,,0.0,1.0,9.1925687789917,0.43890005350112915,,0.0,1.0,12.706733703613281,0.49470004439353943,,0.0,0.0,1.387936076916409,0.021796790780354947,
23,0.0,1.0,11.48890266418457,0.45769999623298646,,0.0,1.0,9.356009483337402,0.4388999938964844,,0.0,1.0,12.879411697387695,0.4935999810695648,,0.0,0.0,1.3870014675844287,0.021408987681175506,
24,0.0,1.0,11.657223510742188,0.4567200422286987,,0.0,1.0,9.51543140411377,0.4383000433444977,,0.0,1.0,13.046106338500977,0.49230003356933594,,0.0,0.0,1.3853365219895222,0.02104072034660931,
25,0.0,1.0,11.820881462097168,0.4564000189304352,,0.0,1.0,9.674696922302246,0.4376000463962555,,0.0,1.0,13.210009574890137,0.4926000237464905,,0.0,0.0,1.3825534305297786,0.02130399036595405,
26,0.0,1.0,11.977333259582519,0.4560000240802765,,0.0,1.0,9.824976921081543,0.43700000643730164,,0.0,1.0,13.36833667755127,0.49240002036094666,,0.0,0.0,1.3812682991478589,0.021378495676963396,
27,0.0,1.0,12.130492019653321,0.4554000377655029,,0.0,1.0,9.973640441894531,0.43650004267692566,,0.0,1.0,13.5252685546875,0.4919000566005707,,0.0,0.0,1.3801530742155799,0.02135147519009468,
28,0.0,1.0,12.281309509277344,0.4551000237464905,,0.0,1.0,10.124754905700684,0.43640002608299255,,0.0,1.0,13.679061889648438,0.49240002036094666,,0.0,0.0,1.374943653198118,0.02172866783359037,
29,0.0,1.0,12.428681564331054,0.4546400308609009,,0.0,1.0,10.286871910095215,0.43560001254081726,,0.0,1.0,13.825401306152344,0.4928000569343567,,0.0,0.0,1.364854184210415,0.022154541299781,
30,0.0,1.0,12.52986946105957,0.45382003784179686,,0.0,1.0,10.400494575500488,0.43400001525878906,,0.0,1.0,13.93035888671875,0.49250003695487976,,0.0,0.0,1.355135572089637,0.02247458786906484,
31,0.0,1.0,12.629424285888671,0.45314003229141236,,0.0,1.0,10.512643814086914,0.4328000247478485,,0.0,1.0,14.03031063079834,0.4926000237464905,,0.0,0.0,1.3455682377579878,0.022923303453983104,
32,0.0,1.0,12.732614326477051,0.4529800176620483,,0.0,1.0,10.633357048034668,0.4324999749660492,,0.0,1.0,14.143844604492188,0.49289998412132263,,0.0,0.0,1.3361678511943111,0.023166495520754213,
33,0.0,1.0,12.834197044372559,0.45220001935958865,,0.0,1.0,10.754525184631348,0.43160000443458557,,0.0,1.0,14.255911827087402,0.492000013589859,,0.0,0.0,1.3266911300833464,0.02310335473930923,
34,0.0,1.0,12.937577438354491,0.45172003507614134,,0.0,1.0,10.878625869750977,0.43060001730918884,,0.0,1.0,14.373071670532227,0.4921000599861145,,0.0,0.0,1.3170548050947077,0.023465883979395467,
35,0.0,1.0,13.040953445434571,0.4516000270843506,,0.0,1.0,11.00418758392334,0.43060001730918884,,0.0,1.0,14.498634338378906,0.49240002036094666,,0.0,0.0,1.310389070056911,0.023646245382473244,
36,0.0,1.0,13.144980430603027,0.45084001421928405,,0.0,1.0,11.13097858428955,0.42920002341270447,,0.0,1.0,14.623257637023926,0.49240002036094666,,0.0,0.0,1.302843939009315,0.024124325549718686,
37,0.0,1.0,13.249589920043945,0.4503200352191925,,0.0,1.0,11.25864028930664,0.42810001969337463,,0.0,1.0,14.7510404586792,0.4920000731945038,,0.0,0.0,1.2970389620114604,0.024291110300831843,
38,0.0,1.0,13.355927467346191,0.4496000289916992,,0.0,1.0,11.39283275604248,0.42730003595352173,,0.0,1.0,14.88072681427002,0.4920000731945038,,0.0,0.0,1.2897764635500213,0.02468088424704886,
39,0.0,1.0,13.462354278564453,0.4490200221538544,,0.0,1.0,11.53132152557373,0.4268999993801117,,0.0,1.0,15.012933731079102,0.4911000430583954,,0.0,0.0,1.2820576138153974,0.02452198462771704,
