,val/feature_corr,val/feature_std,val/feature_entropy,train/loss,train/norm,val/loss,val/1step_accuracy,val/1step_loss,test/feature_corr,test/feature_std,test/feature_entropy,val/feature_corr,val/feature_std,val/feature_entropy,train/loss,train/norm,val/loss,val/1step_accuracy,val/1step_loss,test/feature_corr,test/feature_std,test/feature_entropy,val/feature_corr,val/feature_std,val/feature_entropy,train/loss,train/norm,val/loss,val/1step_accuracy,val/1step_loss,test/feature_corr,test/feature_std,test/feature_entropy,val/feature_corr,val/feature_std,val/feature_entropy,train/loss,train/norm,val/loss,val/1step_accuracy,val/1step_loss,test/feature_corr,test/feature_std,test/feature_entropy
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,std,std,std,std,std,std,std,std,std,std,std
step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,-0.0009347532177343965,0.0035474589094519615,0.9945843815803528,0.0025125236716121435,0.009225485846400261,0.0019240612164139748,0.10999999940395355,55.75,,,,-0.0009347532177343965,0.0035474589094519615,0.9945843815803528,0.0025125236716121435,0.009225485846400261,0.0019240612164139748,0.10999999940395355,55.75,,,,-0.0009347532177343965,0.0035474589094519615,0.9945843815803528,0.0025125236716121435,0.009225485846400261,0.0019240612164139748,0.10999999940395355,55.75,,,,,,,,,,,,,,
1,-0.0009523133048787713,0.005064750090241432,0.9966190457344055,0.0009392559295520186,0.004813937935978174,0.0004598268133122474,0.10999999940395355,53.0,,,,-0.0009523133048787713,0.005064750090241432,0.9966190457344055,0.0009392559295520186,0.004813937935978174,0.0004598268133122474,0.10999999940395355,53.0,,,,-0.0009523133048787713,0.005064750090241432,0.9966190457344055,0.0009392559295520186,0.004813937935978174,0.0004598268133122474,0.10999999940395355,53.0,,,,,,,,,,,,,,
2,-0.0009421154973097146,0.0045190853998064995,0.9952234625816345,0.00022564477694686502,0.0019940577913075686,0.00012812006752938032,0.09999999403953552,42.25,,,,-0.0009421154973097146,0.0045190853998064995,0.9952234625816345,0.00022564477694686502,0.0019940577913075686,0.00012812006752938032,0.09999999403953552,42.25,,,,-0.0009421154973097146,0.0045190853998064995,0.9952234625816345,0.00022564477694686502,0.0019940577913075686,0.00012812006752938032,0.09999999403953552,42.25,,,,,,,,,,,,,,
3,-0.0009246911504305899,0.00427803210914135,0.9933546185493469,9.873903763946146e-05,0.0006029353244230151,9.155354200629517e-05,0.09999999403953552,62.75,,,,-0.0009246911504305899,0.00427803210914135,0.9933546185493469,9.873903763946146e-05,0.0006029353244230151,9.155354200629517e-05,0.09999999403953552,62.75,,,,-0.0009246911504305899,0.00427803210914135,0.9933546185493469,9.873903763946146e-05,0.0006029353244230151,9.155354200629517e-05,0.09999999403953552,62.75,,,,,,,,,,,,,,
4,-0.0008858336368575692,0.0042742593213915825,0.9906783699989319,6.870047218399122e-05,0.000460342678707093,6.183178629726171e-05,0.09999999403953552,56.5,,,,-0.0008858336368575692,0.0042742593213915825,0.9906783699989319,6.870047218399122e-05,0.000460342678707093,6.183178629726171e-05,0.09999999403953552,56.5,,,,-0.0008858336368575692,0.0042742593213915825,0.9906783699989319,6.870047218399122e-05,0.000460342678707093,6.183178629726171e-05,0.09999999403953552,56.5,,,,,,,,,,,,,,
5,-0.0007820230675861239,0.003925283905118704,0.9891350269317627,4.878840263700113e-05,0.00039796828059479594,4.488737613428384e-05,0.09999999403953552,52.0,,,,-0.0007820230675861239,0.003925283905118704,0.9891350269317627,4.878840263700113e-05,0.00039796828059479594,4.488737613428384e-05,0.09999999403953552,52.0,,,,-0.0007820230675861239,0.003925283905118704,0.9891350269317627,4.878840263700113e-05,0.00039796828059479594,4.488737613428384e-05,0.09999999403953552,52.0,,,,,,,,,,,,,,
6,-0.0008009222219698131,0.004045947454869747,0.9866564869880676,3.578816540539265e-05,0.0003491874085739255,3.415757237235084e-05,0.09999999403953552,63.0,,,,-0.0008009222219698131,0.004045947454869747,0.9866564869880676,3.578816540539265e-05,0.0003491874085739255,3.415757237235084e-05,0.09999999403953552,63.0,,,,-0.0008009222219698131,0.004045947454869747,0.9866564869880676,3.578816540539265e-05,0.0003491874085739255,3.415757237235084e-05,0.09999999403953552,63.0,,,,,,,,,,,,,,
7,-0.000842627021484077,0.004035524092614651,0.9853579998016357,2.6508081646170467e-05,0.00032605393789708614,2.531679092498962e-05,0.12999999523162842,42.75,,,,-0.000842627021484077,0.004035524092614651,0.9853579998016357,2.6508081646170467e-05,0.00032605393789708614,2.531679092498962e-05,0.12999999523162842,42.75,,,,-0.000842627021484077,0.004035524092614651,0.9853579998016357,2.6508081646170467e-05,0.00032605393789708614,2.531679092498962e-05,0.12999999523162842,42.75,,,,,,,,,,,,,,
